,long,lat,id,programa,actividad,sede,horarios,telefono,email,web,facebook,twitter,observacion,objeto,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino
0,-58.4710660973978,-34.6627947210207,103,Núcleos deportivos,Iniciación deportiva,Nágera,17 a 19.30 hs.,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"DELLEPIANE, LUIS, TTE. GRAL.",0,ESCALADA AV.,Villa Lugano,Comuna 8,,
1,-58.4950649547818,-34.6667602191912,102,Núcleos deportivos,"Boxeo, defensa personal, fútbol y artes marciales",Polideportivo Dorrego,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Lisandro de la Torre,0,Monte,Mataderos,Comuna 9,,
2,-58.3954285713505,-34.6515096057129,101,Núcleos deportivos,Hockey,Zabaleta,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Luna,0,Iriarte,Barracas,Comuna 4,,
3,-58.4652617648133,-34.6903292618836,100,Núcleos deportivos,Entrenamiento funcional y hockey,Plaza de la Democracia,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Berón de Astrada,0,Lisandro de la Torre,Villa Lugano,Comuna 8,,
4,-58.4818581459015,-34.6839491181974,99,Núcleos deportivos,Natación,Club Yupanqui,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Guaminí,4501,,Villa Lugano,Comuna 8,1439,C1439HAA
5,-58.4951661380143,-34.6764500256212,98,Núcleos deportivos,"Fútbol, hockey y gimnasia rítmica",Barrio Pirelli,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,José León Suarez,3777,,Villa Lugano,Comuna 8,1439,C1439HHC
6,-58.4631267271583,-34.6883039335478,97,Núcleos deportivos,Fútbol femenino,Centro Cultural Saladiyo,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Berón de Astrada,5920,,Villa Lugano,Comuna 8,1439,C1439DPB
7,-58.432862515864,-34.6167036475441,96,Actividades deportivas en Plazas,Gym local - Ritmos - Full local,Parque Rivadavia,,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Avenida Rivadavia,0,Campichuelo,Caballito,Comuna 6,,
8,-58.433984519893,-34.6496409245783,94,Núcleos deportivos,"Actividades adaptadas, handball, hockey, natación y voley",Club Atlético Madres del Pueblo (1-11-14),,,,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,"BARROS PAZOS, JOSE",0,Torres y Tenorio Camilo,Flores,Comuna 7,,
9,-58.3670995829663,-34.6342499164731,93,Actividades deportivas en Plazas,"Gym Local, Ritmos",Flora Nativa,,,prensadeportesciudad@gmail.com,www.buenosaires.gob.ar/deportes,www.facebook.com/DeportesBA,@DeportesBA,,PROGRAMAS DEPORTIVOS,Irala,0,"Villafañe, Wenceslao",Boca,Comuna 4,,
